dfa_id,auc_roc,auc_pr,fpr_out,ece_in,ece_out,n_prefixes,sigma_ref_size
168,0.7297929282006921,0.7060777720131424,0.0,1.0,0.0,136,6
169,0.7403274882256825,0.7105345995296193,0.0,1.0,0.0,136,6
171,0.8615035883634499,0.7032322699533649,0.0,1.0,0.0,136,3
173,0.7703427367679098,0.5931335648044559,0.0,1.0,0.0,136,3
174,0.887833605664488,0.7209259559825287,0.0,1.0,0.0,136,3
178,0.7511647305981215,0.6712844237850936,0.0,1.0,0.0,136,5
181,0.8195234780493079,0.7049368086582917,0.0,1.0,0.0,136,4
182,0.7316377286208602,0.6488499653536656,0.0,1.0,0.0,136,5
183,0.8040917755991286,0.6449282394561882,0.0,1.0,0.0,136,3
184,0.7129217128027683,0.640918362889235,0.0,1.0,0.0,136,5
187,0.7465954028670292,0.6621012754289923,0.0,1.0,0.0,136,5
188,0.8031556372549019,0.7498715333367869,0.0,1.0,0.0,136,6
189,0.7556583662876915,0.657733841739028,0.0,1.0,0.0,136,5
191,0.8276584326541073,0.6674758650682793,0.0,1.0,0.0,136,3
192,0.7027990608007909,0.6460401171015382,0.0,1.0,0.0,136,5
193,0.7526678065527681,0.6251133199474327,0.0,1.0,0.0,136,4
195,0.8527169037549661,0.6809122040799426,0.0,1.0,0.0,136,3
197,0.7669344047361593,0.6477657797691594,0.0,1.0,0.0,136,4
199,0.930679606401384,0.7767245839211993,0.0,1.0,0.0,136,2
200,0.8402323475346021,0.6996495382042727,0.0,1.0,0.0,136,4
202,0.8086613321799309,0.6626888660426412,0.0,1.0,0.0,136,4
203,0.7459218981710332,0.680225245429055,0.0,1.0,0.0,136,5
204,0.6594624062860438,0.6773380000680767,0.0,1.0,0.0,136,6
206,0.7942180548690063,0.6964142509801037,0.0,1.0,0.0,136,5
207,0.8791069941048315,0.7235196931500135,0.0,1.0,0.0,136,3
208,0.843473663975394,0.6564559090907823,0.0,1.0,0.0,136,3
209,0.8599781709558824,0.7165596353257643,0.0,1.0,0.0,136,4
210,0.7410080944142364,0.6534909135885977,0.0,1.0,0.0,136,5
211,0.7899700321304992,0.6950387932970115,0.0,1.0,0.0,136,5
215,0.7932154249567475,0.6421335253797026,0.0,1.0,0.0,136,4
216,0.7824595279288187,0.6842096447005,0.0,1.0,0.0,136,5
217,0.8173937221947604,0.7378007891098495,0.0,1.0,0.0,136,5
218,0.8024809418252596,0.6731880259958798,0.0,1.0,0.0,136,4
219,0.8530332884787902,0.6634427833071792,0.0,1.0,0.0,136,3
221,0.7877226832828719,0.6611781639989771,0.0,1.0,0.0,136,4
222,0.7666537938704893,0.6826603301798738,0.0,1.0,0.0,136,5
224,0.9354671280276817,0.7762770824480606,0.0,1.0,0.0,136,2
225,0.8210727995242214,0.6702714522614295,0.0,1.0,0.0,136,4
226,0.6893337298154556,0.6751645282477348,0.0,1.0,0.0,136,6
227,0.7945298983564013,0.6583187742745913,0.0,1.0,0.0,136,4
229,0.7211597874443895,0.6505582629812761,0.0,1.0,0.0,136,5
230,0.894699955145457,0.7324343835253171,0.0,1.0,0.0,136,3
231,0.6692468041138024,0.6593586908191849,0.0,1.0,0.0,136,6
232,0.8244299925852695,0.7226170187671221,0.0,1.0,0.0,136,5
234,0.7720989866534849,0.6857956937019329,0.0,1.0,0.0,136,5
236,0.8103049307958479,0.7268286431354296,0.0,1.0,0.0,136,5
237,0.7730708666738755,0.6307512038923803,0.0,1.0,0.0,136,4
238,0.8525931282439446,0.7099501281735112,0.0,1.0,0.0,136,4
239,0.8814358259643728,0.7189755780739298,0.0,1.0,0.0,136,3
240,0.7389080747188581,0.6136293987621158,0.0,1.0,0.0,136,4
242,0.76212462926347,0.6817390743909386,0.0,1.0,0.0,136,5
243,0.7620468990292195,0.7280816266630098,0.0,1.0,0.0,136,6
244,0.7247603085351788,0.7081950088285437,0.0,1.0,0.0,136,6
245,0.8846357170319108,0.7242499535324681,0.0,1.0,0.0,136,3
246,0.8375341290008651,0.6917581696986381,0.0,1.0,0.0,136,4
247,0.7883588944156094,0.7566313335279493,0.0,1.0,0.0,136,6
249,0.8563608347750864,0.6987597833477055,0.0,1.0,0.0,136,4
250,0.9172118295847751,0.7768722412042985,0.0,1.0,0.0,136,2
251,0.8547168982482698,0.7215572095640691,0.0,1.0,0.0,136,4
252,0.8643410387030629,0.690768651705773,0.0,1.0,0.0,136,3
254,0.7852508650519031,0.7408062511440279,0.0,1.0,0.0,136,6
255,0.6526075135936728,0.6176137280572267,0.0,1.0,0.0,136,5
